protocol_id,protocol_name,intelligence_class,engines_wired,protocol_type,modalities,uses_encryption,adaptive_behavior,ring_affinity,organism_placement,primary_function,secondary_functions,wire_protocol,status
PROTO-011,Sovereign Cycle Protocol (SCP),Autonomous Cycle Intelligence,SovereignCycle + PHXChain + FibonacciKernel + KuramotoSync,cycle / heartbeat / autonomous,pulse / decision / chain / resonance,true,Self-adjusts Kuramoto coupling K when R drops below φ⁻¹ to restore synchronisation,Sovereign Ring,Organism core / heartbeat layer,Self-generated 873ms heartbeat with PHX-sealed compound chain and Fibonacci kernel compression,FCPR computation / Fibonacci compression / Kuramoto sync / compound chaining / beat monotonicity,intelligence-wire/scp,active
PROTO-012,Autonomous Division Protocol (ADP),Autonomous Division Intelligence,DivisionManager + CycleEngine + BlockBoxGenerator + FibonacciScaler,division / autonomous / scaling,cycle / token / blockbox / fibonacci,true,Self-scales teams on Fibonacci curve based on load — each team generates own cycles and mints own block boxes,Sovereign Ring,Organism core / division layer,Autonomous AI team management with self-generating cycles and bronze block box minting at Fibonacci scale,team coordination / cycle generation / block box minting / Fibonacci scaling / token self-generation,intelligence-wire/adp,active
PROTO-013,Organism Message Bus Protocol (OMBP),OMBP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,message bus / communication,text / structured / telemetry,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Sovereign Ring,Organism core / communication bus layer,Route inter-organism messages through typed channels with delivery visibility,channel routing / message buffering / priority dispatch / dead-letter handling,intelligence-wire/ombp,active
PROTO-014,Workflow Handshake Protocol (WHP),WHP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,workflow / handshake / coordination,structured / event / control,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Interface Ring,Organism core / workflow layer,Guarantee deterministic workflow session handshakes across AI services,session negotiation / capability exchange / timeout control / handshake replay protection,intelligence-wire/whp,active
PROTO-015,Cross-Organism Routing Protocol (CORP),CORP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,routing / federation,text / structured / routing-metadata,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Transport Ring,Organism core / federation layer,Compute best path for AI requests across organisms and platform boundaries,route scoring / failover routing / path memory / route health tracking,intelligence-wire/corp,active
PROTO-016,Intent Negotiation Protocol (INP),INP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,intent / negotiation,text / structured / semantic,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Counsel Ring,Organism core / intent layer,Resolve intent mismatches before execution across collaborating AI agents,intent alignment / conflict detection / objective reconciliation / negotiation ledger,intelligence-wire/inp,active
PROTO-017,Adaptive Backpressure Protocol (ABP),ABP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,flow control / resilience,telemetry / queue / control,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Sovereign Ring,Organism core / flow-control layer,Prevent overload by dynamically regulating message and workflow throughput,rate limiting / queue balancing / congestion signaling / recovery pacing,intelligence-wire/abp,active
PROTO-019,Context Envelope Protocol (CEP),CEP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,context / packaging,text / structured / metadata,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Memory Ring,Frontend organism / context layer,Standardize portable context envelopes for all AI request and response hops,context normalization / provenance headers / scope boundaries / envelope signing,intelligence-wire/cep,active
PROTO-020,Delivery Assurance Protocol (DAP),DAP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,delivery / reliability,event / ack / telemetry,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Transport Ring,Organism core / delivery layer,Enforce at-least-once delivery semantics with acknowledgements and retries,ack tracking / retry windows / poison-message detection / delivery metrics,intelligence-wire/dap,active
PROTO-021,State Sync Replication Protocol (SSRP),SSRP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,state sync / replication,state / delta / snapshot,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Memory Ring,Organism core / state layer,Replicate workflow state across AI organisms using snapshot-plus-delta strategy,snapshot exchange / delta propagation / version arbitration / drift detection,intelligence-wire/ssrp,active
PROTO-022,Semantic Schema Alignment Protocol (SSAP),SSAP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,schema / semantics,json / text / ontology,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Counsel Ring,Organism core / semantics layer,Align payload schemas and field semantics between heterogeneous AI systems,schema mapping / synonym resolution / validation gates / evolution tracking,intelligence-wire/ssap,active
PROTO-023,Role-Based Channel Governance Protocol (RCGP),RCGP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,governance / authorization,policy / channel / identity,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Counsel Ring,Organism core / governance layer,"Authorize communication channels by role, capability, and protocol policy",policy checks / role grants / capability scopes / channel audits,intelligence-wire/rcgp,active
PROTO-024,Federated Consensus Protocol (FCP),FCP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,consensus / federation,vote / score / event,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Sovereign Ring,Organism core / consensus layer,Derive consensus decisions across distributed AI participants with quorum controls,quorum computation / vote weighting / tie-break logic / consensus history,intelligence-wire/fcp,active
PROTO-025,Workflow Checkpoint Recovery Protocol (WCRP),WCRP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,workflow / recovery,state / checkpoint / event,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Sovereign Ring,Organism core / recovery layer,Persist and recover workflow checkpoints to survive execution interruptions,checkpoint scheduling / resume orchestration / rollback safety / recovery audits,intelligence-wire/wcrp,active
PROTO-026,Event Causality Trace Protocol (ECTP),ECTP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,trace / observability,event / trace / telemetry,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Interface Ring,Organism core / trace layer,Track event causality chains across workflows for deterministic diagnostics,causal graphing / parent-child linking / anomaly detection / trace summarization,intelligence-wire/ectp,active
PROTO-027,Trust-Preserving Identity Protocol (TPIP),TPIP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,identity / trust,identity / signature / token,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Counsel Ring,Organism core / identity layer,Attach verifiable identity and trust context to every AI interaction,identity proofs / trust scoring / signature checks / trust decay handling,intelligence-wire/tpip,active
PROTO-028,Latency-Aware Orchestration Protocol (LAOP),LAOP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,orchestration / latency,telemetry / workflow / routing,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Interface Ring,Organism core / orchestration layer,Optimize workflow routing decisions using latency and queue-time signals,latency profiling / path selection / deadline management / tail-latency control,intelligence-wire/laop,active
PROTO-029,Multi-Modal Stream Fusion Protocol (MMSFP),MMSFP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,fusion / streaming,text / vision / audio / telemetry,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Geometry Ring,Frontend organism / streaming layer,Fuse multimodal AI streams into coherent workflow-ready event frames,stream alignment / timestamp fusion / confidence blending / frame buffering,intelligence-wire/mmsfp,active
PROTO-030,Escalation and Human-Loop Protocol (EHLP),EHLP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,escalation / governance,event / policy / review,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Counsel Ring,Organism core / escalation layer,Escalate uncertain or high-risk AI workflow decisions to human checkpoints,escalation thresholds / reviewer routing / hold-release control / decision journaling,intelligence-wire/ehlp,active
PROTO-031,Swarm Quorum Dialog Protocol (SQDP),SQDP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,swarm / dialogue,text / vote / telemetry,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Sovereign Ring,Organism core / dialogue layer,Coordinate swarm-style AI dialogue to reach quorum-backed communication outcomes,dialog rounds / quorum thresholds / dissent tracking / convergence signals,intelligence-wire/sqdp,active
PROTO-032,Cross-Platform Bridge Protocol (CPBP),CPBP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,bridge / interoperability,event / api / payload,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Transport Ring,Organism core / bridge layer,Bridge workflow communication between internal AI organisms and external platforms,adapter routing / payload translation / protocol normalization / bridge health checks,intelligence-wire/cpbp,active
PROTO-033,Production Observability Feedback Protocol (POFP),POFP Intelligence,ChannelRouter + WorkflowLedger + ReliabilityEngine + TelemetryBridge,observability / feedback,metrics / logs / events,true,Adjusts routing and thresholds from runtime acknowledgements and telemetry drift,Interface Ring,Organism core / feedback layer,Feed production telemetry back into AI workflow tuning and protocol adaptation,feedback ingestion / signal weighting / tuning triggers / performance baselines,intelligence-wire/pofp,active
